06100026 00000126 ['399', '118', '728', '392']
06100038 00000034 ['43', '311', '225', '482']
06100038 00000036 ['217', '1184', '430', '1361']
06100038 00000029 ['624', '676', '822', '921']
06100038 00000030 ['22', '743', '233', '942']
06100038 00000015 ['397', '1321', '604', '1528']
06100038 00000038 ['205', '477', '414', '684']
06100038 00000008 ['635', '260', '845', '437']
06100038 00000013 ['208', '61', '432', '208']
06100038 00000032 ['20', '549', '243', '725']
06100038 00000054 ['473', '877', '550', '970']
06100038 00000034 ['43', '79', '225', '292']
06100038 00000030 ['28', '1159', '233', '1346']
06100049 00000083 ['479', '562', '570', '650']
06100049 00000069 ['659', '833', '715', '982']
06100049 00000088 ['390', '434', '502', '574']
06100049 00000067 ['52', '794', '93', '850']
06100049 00000082 ['203', '535', '259', '613']
06100049 00000032 ['473', '746', '506', '793']
06100049 00000077 ['317', '707', '386', '778']
06100049 00000093 ['480', '317', '541', '392']
06100049 00000085 ['427', '1056', '494', '1107']
06100049 00000085 ['556', '820', '595', '912']
06100049 00000073 ['481', '997', '548', '1104']
06100049 00000092 ['532', '531', '585', '600']
06100049 00000092 ['528', '141', '586', '245']
06100049 00000076 ['722', '582', '807', '711']
06100049 00000083 ['245', '228', '295', '278']
06100049 00000076 ['287', '878', '355', '952']
06100049 00000092 ['636', '289', '707', '368']
06100049 00000076 ['297', '801', '356', '860']
06100049 00000055 ['222', '276', '348', '380']
06100049 00000086 ['190', '916', '285', '972']
06100049 00000071 ['577', '563', '631', '634']
06100049 00000086 ['427', '369', '499', '425']
06100049 00000071 ['612', '195', '643', '315']
06100049 00000075 ['522', '850', '588', '908']
06100049 00000084 ['279', '299', '361', '394']
06100049 00000075 ['294', '324', '369', '389']
06100049 00000086 ['536', '894', '625', '972']
06100049 00000080 ['473', '719', '541', '803']
06100049 00000032 ['337', '492', '406', '557']
06100049 00000032 ['337', '992', '402', '1050']
06100049 00000075 ['531', '266', '589', '321']
06100049 00000070 ['754', '634', '836', '689']
06100049 00000065 ['383', '273', '500', '457']
06100049 00000070 ['444', '127', '556', '243']
06100049 00000091 ['356', '619', '480', '756']
06100049 00000071 ['343', '452', '374', '540']
06100049 00000091 ['235', '619', '292', '747']
06100049 00000076 ['730', '442', '809', '582']
06100049 00000076 ['576', '567', '653', '688']
06100049 00000074 ['444', '748', '533', '844']
06100049 00000033 ['95', '296', '164', '453']
06100049 00000069 ['718', '118', '768', '203']
06100049 00000088 ['148', '700', '211', '819']
06100049 00000085 ['543', '321', '604', '370']
06100049 00000077 ['230', '366', '269', '473']
06100049 00000088 ['143', '188', '238', '262']
06100049 00000074 ['787', '928', '865', '995']
06100049 00000074 ['324', '556', '405', '630']
06100049 00000032 ['337', '669', '409', '764']
06100049 00000075 ['534', '666', '586', '735']
06100049 00000082 ['187', '635', '263', '715']
06100049 00000071 ['548', '528', '656', '565']
06100049 00000069 ['31', '744', '96', '862']
06100049 00000070 ['152', '639', '232', '718']
06100049 00000077 ['433', '430', '497', '512']
06100049 00000085 ['267', '703', '350', '784']
06100049 00000067 ['282', '416', '332', '472']
06100049 00000071 ['429', '599', '510', '764']
06100049 00000071 ['302', '172', '411', '279']
06100049 00000067 ['53', '852', '104', '897']
06100049 00000083 ['479', '511', '558', '553']
06100049 00000077 ['128', '144', '183', '271']
06100049 00000082 ['465', '675', '534', '783']
06100049 00000071 ['476', '384', '512', '425']
06100049 00000083 ['356', '394', '421', '466']
06100049 00000075 ['303', '171', '374', '236']
06100049 00000073 ['477', '399', '536', '487']
06100049 00000083 ['622', '1018', '704', '1106']
06100049 00000080 ['143', '880', '182', '962']
06100049 00000067 ['44', '464', '93', '497']
06100049 00000073 ['318', '928', '400', '984']
06100049 00000086 ['203', '567', '249', '638']
06100049 00000053 ['167', '398', '224', '501']
06100049 00000033 ['216', '824', '314', '957']
06100049 00000080 ['566', '228', '640', '335']
06100049 00000093 ['455', '966', '529', '1083']
06100049 00000058 ['376', '360', '454', '488']
06100049 00000083 ['622', '533', '707', '618']
06100049 00000093 ['437', '187', '516', '252']
06100049 00000073 ['91', '1169', '113', '1215']
06100049 00000074 ['565', '637', '650', '708']
06100049 00000070 ['449', '374', '542', '454']
06100049 00000031 ['645', '910', '719', '970']
06100049 00000084 ['409', '1017', '479', '1104']
06100049 00000086 ['546', '523', '612', '588']
06100049 00000067 ['376', '187', '423', '248']
06100049 00000071 ['33', '472', '126', '599']
06100049 00000085 ['546', '492', '595', '578']
06100049 00000069 ['710', '230', '761', '358']
06100049 00000069 ['419', '366', '466', '434']
06100049 00000073 ['566', '499', '609', '537']
06100049 00000089 ['251', '997', '327', '1099']
06100049 00000032 ['126', '401', '189', '449']
06100049 00000076 ['140', '451', '210', '539']
06100049 00000088 ['302', '578', '335', '661']
06100049 00000077 ['335', '783', '376', '828']
06100049 00000083 ['622', '417', '709', '510']
06100049 00000074 ['488', '961', '535', '1051']
06100049 00000091 ['229', '760', '311', '926']
06100049 00000067 ['281', '794', '328', '852']
06100049 00000055 ['233', '407', '341', '578']
06100049 00000069 ['176', '715', '220', '826']
06100049 00000074 ['311', '359', '416', '433']
06100049 00000074 ['589', '987', '628', '1039']
06100049 00000082 ['196', '742', '261', '801']
06100049 00000086 ['540', '368', '605', '433']
06100049 00000073 ['341', '845', '418', '933']
06100049 00000070 ['457', '614', '538', '694']
06100049 00000033 ['557', '118', '670', '248']
06100049 00000089 ['257', '196', '320', '305']
06100049 00000091 ['532', '590', '664', '696']
06100049 00000093 ['471', '869', '506', '960']
06100049 00000076 ['719', '121', '834', '251']
06100049 00000089 ['389', '320', '481', '395']
06100049 00000083 ['224', '296', '309', '407']
06100049 00000074 ['330', '142', '391', '234']
06100049 00000024 ['339', '776', '457', '848']
06100049 00000074 ['588', '272', '630', '323']
06100049 00000033 ['325', '352', '426', '523']
06100049 00000089 ['390', '662', '481', '735']
06100049 00000088 ['123', '555', '238', '668']
06100049 00000089 ['522', '625', '619', '753']
06100049 00000077 ['327', '304', '371', '367']
06100049 00000067 ['367', '360', '439', '445']
06100049 00000068 ['802', '714', '836', '815']
06100049 00000080 ['143', '542', '188', '636']
06100049 00000086 ['314', '287', '377', '361']
06100049 00000058 ['209', '1069', '256', '1155']
06100049 00000088 ['142', '270', '238', '372']
06100049 00000075 ['515', '919', '582', '997']
06100049 00000055 ['595', '146', '732', '257']
06100049 00000053 ['328', '569', '382', '638']
06100049 00000032 ['129', '769', '203', '881']
06100049 00000082 ['597', '269', '645', '337']
06100049 00000092 ['423', '406', '492', '517']
06100049 00000077 ['318', '609', '374', '702']
06100049 00000073 ['205', '1134', '274', '1227']
06100049 00000068 ['796', '232', '848', '289']
06100049 00000068 ['669', '704', '718', '767']
06100049 00000077 ['119', '805', '178', '862']
06100049 00000067 ['371', '248', '431', '356']
06100049 00000053 ['626', '289', '698', '417']
06100049 00000085 ['654', '351', '721', '429']
06100049 00000071 ['412', '911', '482', '996']
06100049 00000075 ['297', '825', '354', '882']
06100049 00000092 ['776', '578', '859', '645']
06100049 00000084 ['406', '884', '474', '1017']
06100049 00000080 ['253', '1116', '318', '1180']
06100049 00000033 ['319', '536', '428', '650']
06100049 00000032 ['462', '509', '521', '567']
06100049 00000023 ['421', '761', '501', '850']
06100049 00000033 ['557', '673', '661', '785']
06100049 00000080 ['247', '295', '314', '350']
06100049 00000033 ['321', '679', '422', '803']
06100049 00000073 ['331', '561', '413', '642']
06100049 00000033 ['445', '678', '554', '799']
06100049 00000089 ['672', '283', '749', '467']
06100049 00000025 ['564', '1016', '682', '1175']
06100049 00000075 ['641', '897', '710', '962']
06100049 00000092 ['292', '758', '331', '854']
06100049 00000018 ['374', '966', '444', '1017']
06100049 00000085 ['274', '804', '342', '889']
06100049 00000055 ['66', '881', '164', '967']
06100049 00000031 ['656', '447', '719', '550']
06100049 00000080 ['472', '1119', '552', '1182']
06100049 00000043 ['639', '689', '659', '741']
06100049 00000067 ['374', '634', '439', '702']
06100049 00000053 ['589', '635', '685', '724']
06100049 00000071 ['437', '467', '504', '578']
06100049 00000033 ['97', '714', '205', '796']
06100049 00000084 ['296', '155', '375', '270']
06100049 00000055 ['422', '829', '530', '964']
06100049 00000092 ['779', '645', '859', '794']
06100049 00000088 ['432', '641', '470', '692']
06100049 00000075 ['679', '101', '722', '159']
06100049 00000085 ['268', '596', '344', '684']
06100049 00000073 ['326', '160', '408', '250']
06100049 00000082 ['203', '884', '249', '967']
06100049 00000092 ['424', '286', '506', '380']
06100049 00000045 ['488', '681', '551', '722']
06100049 00000086 ['344', '906', '367', '965']
06100049 00000085 ['646', '677', '716', '761']
06100049 00000074 ['659', '145', '731', '259']
06100049 00000092 ['773', '328', '849', '403']
06100049 00000032 ['453', '354', '511', '426']
06100049 00000082 ['173', '813', '251', '884']
06100049 00000032 ['459', '232', '504', '289']
06100049 00000091 ['222', '312', '327', '428']
06100049 00000085 ['649', '951', '707', '1016']
06100049 00000065 ['661', '571', '746', '688']
06100049 00000082 ['589', '908', '665', '983']
06100049 00000093 ['466', '745', '527', '848']
06100049 00000080 ['477', '917', '532', '990']
06100049 00000092 ['284', '319', '324', '401']
06100049 00000077 ['318', '561', '369', '609']
06100049 00000086 ['186', '989', '269', '1048']
06100049 00000032 ['131', '618', '190', '693']
06100049 00000071 ['557', '827', '626', '929']
06100049 00000067 ['387', '874', '434', '955']
06100049 00000032 ['346', '415', '397', '499']
06100049 00000082 ['193', '1079', '254', '1184']
06100049 00000073 ['202', '903', '273', '1037']
06100049 00000032 ['459', '904', '520', '968']
06100049 00000082 ['593', '484', '661', '540']
06100049 00000032 ['125', '265', '186', '317']
06100049 00000033 ['327', '230', '414', '322']
06100049 00000083 ['350', '247', '441', '380']
06100049 00000092 ['282', '164', '324', '242']
06100049 00000083 ['462', '892', '571', '946']
06100049 00000089 ['553', '491', '592', '548']
06100049 00000075 ['666', '176', '730', '245']
06100049 00000069 ['650', '685', '739', '833']
06100049 00000080 ['563', '131', '649', '218']
06100049 00000086 ['555', '169', '613', '222']
06100049 00000075 ['292', '724', '347', '805']
06100049 00000088 ['420', '811', '502', '986']
06100049 00000044 ['472', '391', '545', '461']
06100049 00000080 ['123', '242', '190', '326']
06100049 00000070 ['780', '894', '838', '963']
06100049 00000085 ['560', '226', '592', '300']
06100049 00000058 ['513', '827', '615', '923']
06100049 00000053 ['612', '415', '674', '556']
06100049 00000055 ['237', '612', '362', '726']
06100049 00000071 ['182', '909', '265', '991']
06100049 00000086 ['242', '1048', '270', '1117']
06100049 00000092 ['278', '400', '332', '485']
06100049 00000089 ['400', '592', '472', '645']
06100049 00000083 ['507', '144', '593', '220']
06100049 00000058 ['660', '640', '735', '788']
06100049 00000088 ['286', '687', '387', '794']
06100049 00000085 ['654', '1024', '711', '1088']
06100049 00000083 ['250', '787', '285', '829']
06100049 00000086 ['560', '1097', '611', '1187']
06100049 00000080 ['380', '1079', '445', '1187']
06100049 00000070 ['167', '818', '251', '900']
06100049 00000073 ['336', '260', '396', '354']
06100049 00000070 ['309', '269', '396', '341']
06100049 00000069 ['519', '701', '589', '942']
06100049 00000074 ['556', '211', '647', '265']
06100049 00000086 ['188', '439', '254', '496']
06100049 00000069 ['168', '184', '241', '276']
06100049 00000074 ['808', '1016', '861', '1075']
06100049 00000084 ['275', '1076', '366', '1193']
06100049 00000055 ['605', '938', '732', '1011']
06100049 00000089 ['408', '430', '461', '506']
06100049 00000047 ['155', '478', '245', '532']
06100049 00000092 ['129', '396', '213', '519']
06100049 00000089 ['400', '969', '443', '1035']
06100049 00000093 ['242', '628', '360', '742']
06100049 00000074 ['817', '813', '855', '902']
06100049 00000073 ['458', '162', '541', '297']
06100049 00000032 ['131', '964', '202', '1034']
06100049 00000076 ['302', '954', '343', '1042']
06100049 00000033 ['570', '949', '650', '1045']
06100049 00000067 ['163', '662', '222', '701']
06100049 00000073 ['570', '613', '610', '672']
06100049 00000082 ['599', '350', '656', '457']
06100049 00000076 ['299', '490', '367', '582']
06100049 00000089 ['548', '254', '618', '387']
06100049 00000074 ['475', '1054', '538', '1211']
06100049 00000085 ['648', '441', '713', '519']
06100049 00000067 ['176', '260', '224', '321']
06100049 00000058 ['534', '943', '595', '1030']
06100049 00000032 ['260', '507', '311', '555']
06100049 00000032 ['144', '460', '185', '545']
06100049 00000032 ['462', '975', '523', '1048']
06100049 00000019 ['70', '1014', '138', '1097']
06100049 00000055 ['90', '730', '165', '858']
06100049 00000075 ['304', '94', '365', '138']
06100049 00000080 ['136', '137', '176', '218']
06100049 00000060 ['199', '701', '235', '725']
06100049 00000053 ['605', '178', '699', '289']
06100049 00000067 ['44', '599', '108', '655']
06100049 00000071 ['693', '652', '741', '749']
06100049 00000085 ['404', '249', '473', '307']
06100049 00000086 ['427', '548', '490', '600']
06100049 00000084 ['293', '873', '376', '984']
06100049 00000083 ['485', '1100', '573', '1186']
06100049 00000074 ['587', '1055', '651', '1115']
06100049 00000075 ['416', '429', '489', '506']
06100049 00000076 ['440', '743', '531', '810']
06100049 00000080 ['134', '355', '185', '429']
06100049 00000092 ['153', '814', '216', '888']
06100049 00000070 ['301', '696', '382', '764']
06100049 00000092 ['780', '816', '859', '915']
06100049 00000076 ['446', '407', '507', '436']
06100049 00000031 ['427', '238', '486', '311']
06100049 00000055 ['70', '293', '174', '401']
06100049 00000084 ['151', '453', '253', '515']
06100049 00000076 ['152', '259', '222', '355']
06100049 00000074 ['572', '343', '633', '451']
06100049 00000071 ['181', '666', '300', '780']
06100049 00000074 ['578', '1129', '643', '1219']
06100049 00000075 ['530', '541', '587', '577']
06100049 00000055 ['595', '257', '732', '351']
06100049 00000085 ['559', '389', '594', '466']
06100049 00000031 ['413', '912', '479', '993']
06100049 00000088 ['140', '418', '239', '495']
06100049 00000085 ['433', '979', '489', '1038']
06100049 00000085 ['526', '1104', '592', '1190']
06100049 00000084 ['563', '913', '604', '994']
06100049 00000031 ['658', '737', '715', '803']
06100049 00000077 ['312', '140', '386', '220']
06100049 00000091 ['243', '497', '293', '571']
06100049 00000067 ['33', '195', '108', '233']
06100049 00000073 ['468', '293', '546', '399']
06100049 00000075 ['523', '468', '590', '532']
06100049 00000075 ['424', '338', '485', '401']
06100049 00000082 ['479', '313', '529', '400']
06100049 00000093 ['459', '389', '540', '496']
06100049 00000033 ['221', '205', '304', '360']
06100049 00000077 ['135', '506', '175', '556']
06100049 00000088 ['145', '868', '229', '982']
06100049 00000067 ['148', '713', '209', '795']
06100049 00000074 ['799', '404', '865', '470']
06100049 00000071 ['667', '908', '750', '1021']
06100049 00000073 ['566', '552', '612', '598']
06100049 00000075 ['422', '929', '477', '997']
06100049 00000071 ['173', '793', '275', '893']
06100049 00000089 ['261', '689', '307', '747']
06100049 00000067 ['278', '192', '342', '254']
06100049 00000073 ['353', '755', '398', '835']
06100049 00000055 ['55', '968', '180', '1041']
06100049 00000059 ['223', '814', '296', '874']
06100049 00000067 ['282', '270', '351', '345']
06100049 00000089 ['528', '786', '612', '831']
06100049 00000085 ['407', '373', '467', '457']
06100049 00000089 ['267', '350', '322', '440']
06100049 00000067 ['178', '193', '225', '251']
06100049 00000085 ['544', '1012', '596', '1095']
06100049 00000071 ['705', '452', '749', '614']
06100049 00000033 ['458', '383', '530', '471']
06100049 00000093 ['242', '742', '359', '843']
06100049 00000082 ['471', '425', '528', '534']
06100049 00000074 ['778', '345', '859', '391']
06100049 00000077 ['567', '563', '593', '614']
06100049 00000065 ['393', '457', '473', '604']
06100049 00000058 ['384', '608', '447', '736']
06100049 00000070 ['468', '704', '526', '803']
06100049 00000092 ['147', '646', '211', '736']
06100049 00000058 ['653', '787', '726', '867']
06100049 00000091 ['499', '173', '681', '365']
06100049 00000080 ['157', '827', '182', '869']
06100049 00000093 ['631', '903', '694', '992']
06100049 00000085 ['268', '137', '337', '214']
06100049 00000093 ['440', '676', '528', '748']
06100049 00000077 ['562', '379', '600', '424']
06100049 00000070 ['768', '702', '835', '773']
06100049 00000088 ['398', '342', '483', '426']
06100049 00000031 ['669', '830', '712', '891']
06100049 00000075 ['298', '553', '358', '617']
06100049 00000086 ['198', '367', '246', '427']
06100049 00000071 ['443', '178', '541', '246']
06100049 00000075 ['525', '393', '592', '453']
06100049 00000077 ['548', '641', '610', '719']
06100049 00000067 ['278', '477', '333', '554']
06100049 00000076 ['309', '720', '341', '785']
06100049 00000055 ['653', '831', '696', '934']
